ed for 080619725.xml | Count - 102172 | Percentage - 88 | Result - Match 
Checked for 080619748.xml | Count - 102173 | Percentage - 88 | Result - Match 
Checked for 080619760.xml | Count - 102174 | Percentage - 88 | Result - Match 
Checked for 080619777.xml | Count - 102175 | Percentage - 88 | Result - Match 
Checked for 080619800.xml | Count - 102176 | Percentage - 88 | Result - Match 
Checked for 080619817.xml | Count - 102177 | Percentage - 88 | Result - Match 
Checked for 080619846.xml | Count - 102178 | Percentage - 88 | Result - Match 
Checked for 080619852.xml | Count - 102179 | Percentage - 88 | Result - Match 

Checked for 080630895.xml | Count - 102266 | Percentage - 88 | Result - Match 
Checked for 080630906.xml | Count - 102267 | Percentage - 88 | Result - Match 
Checked for 080630912.xml | Count - 102268 | Percentage - 88 | Result - Match 
Checked for 080641882.xml | Count - 102269 | Percentage - 88 | Result - Match 
Checked for 080641899.xml | Count - 102270 | Percentage - 88 | Result - Match 
Checked for 080641902.xml | Count - 102271 | Percentage - 88 | Result - Match 
Checked for 080641916.xml | Count - 102272 | Percentage - 88 | Result - Match 
Checked for 080641922.xml | Count - 102273 | Percentage - 88 | Result - Match 
Checked for 080641968.xml | Count - 102274 | Percentage - 88 | Result - Match 
Checked for 080642201.xml | Count - 102275 | Percentage - 88 | Result - Match 
Checked for 080642224.xml | Count - 102276 | Percentage - 88 | Result - Match 
Checked for 080642230.xml | Count - 102277 | Percentage - 88 | Result - Match 
Checked for 080642253.xml | Count - 102278 | Percentage - 88 | Result - Match 
Checked for 080642262.xml | Count - 102279 | Percentage - 88 | Result - Match 
Checked for 080642276.xml | Count - 102280 | Percentage - 88 | Result - Match 
Checked for 080642299.xml | Count - 102281 | Percentage - 88 | Result - Match 
Checked for 080642322.xml | Count - 102282 | Percentage - 88 | Result - Match 
Checked for 080642339.xml | Count - 102283 | Percentage - 88 | Result - Match 
Checked for 080642345.xml | Count - 102284 | Percentage - 88 | Result - Match 
Checked for 080642351.xml | Count - 102285 | Percentage - 88 | Result - Match 
Checked for 080642368.xml | Count - 102286 | Percentage - 88 | Result - Match 
Checked for 080642374.xml | Count - 102287 | Percentage - 88 | Result - Match 
Checked for 080642380.xml | Count - 102288 | Percentage - 88 | Result - Match 
Checked for 080642397.xml | Count - 102289 | Percentage - 88 | Result - Match 
Checked for 080642408.xml | Count - 102290 | Percentage - 88 | Result - Match 
Checked for 080642420.xml | Count - 102291 | Percentage - 88 | Result - Match 
Checked for 080642512.xml | Count - 102292 | Percentage - 88 | Result - Match 
Checked for 080642541.xml | Count - 102293 | Percentage - 88 | Result - Match 
Checked for 080642558.xml | Count - 102294 | Percentage - 88 | Result - Match 
Checked for 080642564.xml | Count - 102295 | Percentage - 88 | Result - Match 
Checked for 080642587.xml | Count - 102296 | Percentage - 88 | Result - Match 
Checked for 080642593.xml | Count - 102297 | Percentage - 88 | Result - Match 
Checked for 080642604.xml | Count - 102298 | Percentage - 88 | Result - Match 
Checked for 080642633.xml | Count - 102299 | Percentage - 88 | Result - Match 
Checked for 080642656.xml | Count - 102300 | Percentage - 88 | Result - Match 
Checked for 080642685.xml | Count - 102301 | Percentage - 88 | Result - Match 
Checked for 080642719.xml | Count - 102302 | Percentage - 88 | Result - Match 
Checked for 080642725.xml | Count - 102303 | Percentage - 88 | Result - Match 
Checked for 080642748.xml | Count - 102304 | Percentage - 88 | Result - Match 
Checked for 080642754.xml | Count - 102305 | Percentage - 88 | Result - Match 
Checked for 080642760.xml | Count - 102306 | Percentage - 88 | Result - Match 
Checked for 080642817.xml | Count - 102307 | Percentage - 88 | Result - Match 
